Maschine	KW Fertigung	Nr.	KW Lief.	Auftrag	ANr	AK	Name		Artikelnummer		Masche/Bemerkung	Menge	Stck Pal.	P-Länge	P-Breite	P-Höhe	P-Anzahl
Paletten	2620	2	2623	109240	27		Hellmann Poultry Gmb		PSC45-36-0597   /003			1	360	1200	1200	1460	1
Paletten	2620	3	2623	109240	27		Hellmann Poultry Gmb		PSC45-36-0598   /003			1	360	1200	1200	1460	1
Paletten	2620	3	2608	109774	0	03/03	Draht Müller GmbH & 		DGB-3,5KN       /001			13	38	1140	900		1
Paletten	2620	7	2625	109830	2		Knebusch Rollen GmbH		PSC411x99       /001			3	2100	1100	880	1060	1
Paletten	2620	9	2622	109950	0		VDL Jansen bv		PSV1170x418     /001			3	650	1270	1180	1040	1
Paletten	2620	10	2623	109862	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2620	12	2622	109240	31		Hellmann Poultry Gmb		PSC45-36-0597   /003			1	360	1200	1200	1460	1
Paletten	2620	12	2625	110031	0		VDL Jansen bv		PSV1170x418     /001			3	650	1270	1180	1040	1
Paletten	2620	13	2622	109240	31		Hellmann Poultry Gmb		PSC45-36-0598   /003			1	360	1200	1200	1460	1
Paletten	2620	14	2617	109898	2		Bressers Metaal BV		PSV940x940      /021			28	250	950	950	1520	1
Paletten	2620	15	2620	110002	0		WISAG Produktionsser		PSR2000x730     /003			2	125	2050	770	590	1
Paletten	2620	21	2621	109941	0		Hellmann Poultry Gmb		PSC45-36-0571   /001			2	1200	1150	700	1040	1
Paletten	2620	22	2623	109930	0		Hellmann Poultry Gmb		PSC45-36-0416   /004			1	100	2420	1050	790	1
Paletten	2620	23	2623	109930	0		Hellmann Poultry Gmb		PSC45-36-0768   /003			1	400	1200	850	1360	1
Paletten	2620	24	2624	109929	0		Hellmann Poultry Gmb		PSC45-36-0416   /004			2	100	2420	1050	790	1
Paletten	2620	24	2623	110018	0		Hellmann Poultry Gmb		PSC45-36-1049   /001			3	100	2415	760	780	1
Paletten	2620	30	2623	110029	0		Hellmann Poultry Gmb		PSC45-36-0416   /004			2	100	2420	1050	790	1
Paletten	2620	31	2623	108441	76		Hellmann Poultry Gmb		PSC45-36-0648   /004			4	500	1180	820	960	1
Paletten	2620	32	2626	108441	77		Hellmann Poultry Gmb		PSC45-36-0648   /004			1	500	1180	820	960	1
Paletten	2620	33	2626	108441	78		Hellmann Poultry Gmb		PSC45-36-0648   /004			1	500	1180	820	960	1
Paletten	2620	34	2625	108441	80		Hellmann Poultry Gmb		PSC45-36-0648   /004			2	500	1180	820	960	1
Paletten	2620	35	2625	108441	81		Hellmann Poultry Gmb		PSC45-36-0648   /004			2	500	1180	820	960	1
Paletten	2620	36	2627	108441	82		Hellmann Poultry Gmb		PSC45-36-0648   /004			1	500	1180	820	960	1
Paletten	2620	37	2620	110110	0		F. Carl Schröter Gmb		PSE1860x437     /001			1	60	1900	740		1
Paletten	2620	38	0	110078	0		VDL Jansen bv		PSVJ013110-052  /001			1	333	2460	1200	1000	1
Paletten	2620	40	2622	110113	0		BITO Lagertechnik		PSV1503x1300    /002			1	55	1600	1100	1700	1
Paletten	2620	41	2622	110113	0		BITO Lagertechnik		PSV1300x1003    /002			1	55	1380	1100	1200	1
Paletten	2620	43	2624	109447	3		Hellmann Poultry Gmb		PSC45-36-1292   /002			9	66	910	2800	880	1
Paletten	2620	44	2621	110124	0		Courth Edelstahl-App		PSE536x410      /001			1	50	580	460	560	1
Paletten	2620	46	2621	110124	0		Courth Edelstahl-App		PSE306x306      /004			1	10	320	320		1
Paletten	2620	50	2625	110122	0		MIWE Wenz GmbH		PSE2008x2000    /008			1	40	2060	2050	640	1
Paletten	2620	54	2626	108441	86		Hellmann Poultry Gmb		PSC45-36-0648   /004			2	500	1180	820	960	1
Paletten	2620	55	2629	108441	87		Hellmann Poultry Gmb		PSC45-36-0648   /004			1	500	1180	820	960	1
Paletten	2620	56	2631	108441	88		Hellmann Poultry Gmb		PSC45-36-0648   /004			1	500	1180	820	960	1
Paletten	2620	57	2622	110196	0		Hellmann Poultry Gmb		PSC45-36-1049   /001			1	100	2415	760	780	1
Paletten	2620	58	2622	110160	0		VELUX Commercial Pro		PSV2040x1590    /001			1	100	2050	1600		1
Paletten	2620	59	2616	110153	0	01/04	Draht Müller GmbH & 		DGB-3,5KN       /001			10	38	1140	900		1
Paletten	2620	60	2621	109662	6		BITO Lagertechnik		PSV3600x1003    /004			1	55	3630	1060	1170	1
Paletten	2620	61	2621	109663	5		BITO Lagertechnik		PSV3600x1503    /003			4	55	3630	1060	1670	1
Paletten	2620	63	2621	110217	0		BITO Lagertechnik		PSV2000x1503    /006			1	55	2030	1060	1670	1
Paletten	2620	64	2622	110227	0		VELUX Commercial Pro		PSV2290x2140    /001			1	25	4950	2250	300	1
Paletten	2620	65	2627	110212	0		VDL Jansen bv		PSVJ015228-004-1/002			4	500	770	1200	1100	1
Paletten	2620	67	2624	110256	0		Big Dutchman		PSC83-18-0224   /001			2	300	3440	1090	570	1
Paletten	2621	2	2623	109689	0		Big Dutchman		PSC83-51-4801   /001			2	50	1200	450	280	1
Paletten	2621	3	2625	109787	0		Big Dutchman		PSC83-10-7309   /002			1	2000	1050	800	1210	1
Paletten	2621	4	2629	109784	0		Big Dutchman		PSC83-10-7309   /002			2	2000	1050	800	1210	1
Paletten	2621	5	2635	109879	0		Big Dutchman		PSC83-10-7309   /002			2	2000	1050	800	1210	1
Paletten	2621	6	2623	109862	0		Hellmann Poultry Gmb		PSC45-36-0416   /004			3	100	2420	1050	790	1
Paletten	2621	10	0	109970	0		VDL Jansen bv		PSV1170x418     /001			3	650	1270	1180	1040	1
Paletten	2621	11	2624	109240	35		Hellmann Poultry Gmb		PSC45-36-0597   /003			1	360	1200	1200	1460	1
Paletten	2621	12	2622	110228	0		Indu-Light Produktio		PSV6190x2290    /001			4	25	6200	2300	400	1
Paletten	2621	17	0	110078	0		VDL Jansen bv		PSVJ015224-506  /004			4	172	1210	930	1050	1
Paletten	2621	18	2622	110111	0		Big Dutchman		PSC83-19-0853   /002			1	750	950	880	700	1
Paletten	2621	19	2622	110061	0		VELUX Commercial Pro		PSV990x840      /001			1	50	1000	850	400	1
Paletten	2621	22	2623	110018	0		Hellmann Poultry Gmb		PSC45-36-1050   /001			4	300	1250	1020		1
Paletten	2621	23	2623	110018	0		Hellmann Poultry Gmb		PSC45-36-1051   /001			3	400	1250	1100		1
Paletten	2621	49	0	110080	0		VDL Jansen bv		PSCJ015224-482  /001			3	350	1200	950	1045	1
Paletten	2621	164	2622	110059	0		VELUX Commercial Pro		PSV2340x1590    /001			2	50	2350	1600	400	1
Paletten	2621	165	2622	110061	0		VELUX Commercial Pro		PSV2340x1590    /001			2	50	2350	1600	400	1
Paletten	2621	180	2622	110061	0		VELUX Commercial Pro		PSV2340x1290    /001			4	100	2350	1300	400	1
Paletten	2621	181	2622	110061	0		VELUX Commercial Pro		PSV1090x940     /001			1	100	1100	950	400	1
Paletten	2621	183	2624	110101	0		Hellmann Poultry Gmb		PSC45-36-0073   /006			4	360	1200	1100	1470	1
Paletten	2621	184	2625	110115	0		Victorsson Poultry A		PSC170016       /002			3	300	1260	1200	670	1
Paletten	2621	185	2625	110115	0		Victorsson Poultry A		PSC270102       /002			1	400	1400	1210	1080	1
Paletten	2621	186	2623	109662	5		BITO Lagertechnik		PSV3600x1003    /004			1	55	3630	1060	1170	1
Paletten	2621	187	2623	109663	3		BITO Lagertechnik		PSV3600x1503    /003			3	55	3630	1060	1670	1
Paletten	2621	188	2624	110157	0		Big Dutchman		PSF83-50-4400   /001			11	112	1620	1225	1340	1
Paletten	2621	188	2624	110156	0		Big Dutchman		PSC83-07-6069   /002			4	200	1200	650	1200	1
Paletten	2621	189	2623	109659	12		BITO Lagertechnik		PSV2700x1503    /009			8	55	2710	1060	1690	1
