rubrik_id (englischer Name);rubrikname (deutscher Name);pfad
496;Verpackungsanlagen;Drahtverarbeitungsmaschinen / Verpackungsanlagen
497;Viereckgeflechtmaschinen;Drahtverarbeitungsmaschinen / Viereckgeflechtmaschinen
498;Zuführgeräte;Drahtverarbeitungsmaschinen / Zuführgeräte
2073;3D Drucker;Druckereimaschinen & Druckmaschinen / 3D Drucker
708;Bedruckmaschinen;Druckereimaschinen & Druckmaschinen / Bedruckmaschinen
174;Buchbindereimaschinen;Druckereimaschinen & Druckmaschinen / Buchbindereimaschinen
176;Buchdruckmaschinen;Druckereimaschinen & Druckmaschinen / Buchdruckmaschinen
177;Digitaldruckmaschinen;Druckereimaschinen & Druckmaschinen / Digitaldruckmaschinen
842;Andruckpressen;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Andruckpressen
843;Belichter;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Belichter
844;Drucker;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Drucker
1139;Einbrennöfen;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Einbrennöfen
845;Entwicklungsmaschinen;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Entwicklungsmaschinen
846;Großformatdrucker & Plotter;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Großformatdrucker & Plotter
847;Kameras;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Kameras
848;Kontaktgeräte;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Kontaktgeräte
849;Kopierer;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Kopierer
1192;Leuchttische;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Leuchttische
1138;Plattenstanzen;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Plattenstanzen
850;Proofgeräte;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Proofgeräte
851;Scanner;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Scanner
1435;Software;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Software
853;Sonstige Maschinen Druckvorstufe;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Sonstige Maschinen Druckvorstufe
852;Zubehör & Ersatzteile für die Druckvorstufe;Druckereimaschinen & Druckmaschinen / Druckvorstufe / Zubehör & Ersatzteile für die Druckvorstufe
179;Etikettendruck & Stanzmaschinen;Druckereimaschinen & Druckmaschinen / Etikettendruck & Stanzmaschinen
180;Flexodruckmaschinen;Druckereimaschinen & Druckmaschinen / Flexodruckmaschinen
173;Formulardruckmaschinen;Druckereimaschinen & Druckmaschinen / Formulardruckmaschinen
181;Hochdruckmaschinen;Druckereimaschinen & Druckmaschinen / Hochdruckmaschinen
709;Kartondruckmaschinen;Druckereimaschinen & Druckmaschinen / Kartondruckmaschinen
759;Komplette Druckereien;Druckereimaschinen & Druckmaschinen / Komplette Druckereien
